2020-03-26 11:10:21,163 [][] [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.nounsys.nounservice.NounServiceApplicationTests], using SpringBootContextLoader 
2020-03-26 11:10:21,222 [][] [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [org.nounsys.nounservice.NounServiceApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2020-03-26 11:10:21,228 [][] [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [org.nounsys.nounservice.NounServiceApplicationTests]: NounServiceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2020-03-26 11:10:21,711 [][] [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration org.nounsys.nounservice.NounServiceApplication for test class org.nounsys.nounservice.NounServiceApplicationTests 
2020-03-26 11:10:21,961 [][] [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
2020-03-26 11:10:21,999 [][] [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2657d4dd, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5340477f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@47caedad, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7139992f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@69504ae9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@387a8303, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@28cda624, org.springframework.test.context.event.EventPublishingTestExecutionListener@1500b2f3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7eecb5b8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@126253fd, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@57db2b13, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@475c9c31, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5c86a017] 
2020-03-26 11:10:22,699 [][] [main] INFO  o.n.n.NounServiceApplicationTests - Starting NounServiceApplicationTests on LQDEV073 with PID 16484 (started by GAOXU in E:\person-workspace\springboot-learning\noun-service) 
2020-03-26 11:10:22,701 [][] [main] INFO  o.n.n.NounServiceApplicationTests - No active profile set, falling back to default profiles: default 
2020-03-26 11:10:24,962 [][] [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'enterpriseMapper' and 'org.nounsys.nounservice.datasource.account.mapper.EnterpriseMapper' mapperInterface. Bean already defined with the same name! 
2020-03-26 11:10:24,964 [][] [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'enterpriseVerificationMapper' and 'org.nounsys.nounservice.datasource.account.mapper.EnterpriseVerificationMapper' mapperInterface. Bean already defined with the same name! 
2020-03-26 11:10:24,966 [][] [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userInfoMapper' and 'org.nounsys.nounservice.datasource.account.mapper.UserInfoMapper' mapperInterface. Bean already defined with the same name! 
2020-03-26 11:10:24,967 [][] [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userMapper' and 'org.nounsys.nounservice.datasource.account.mapper.UserMapper' mapperInterface. Bean already defined with the same name! 
2020-03-26 11:10:24,968 [][] [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[org.nounsys.nounservice.datasource.account.mapper]' package. Please check your configuration. 
2020-03-26 11:10:28,413 [][] [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2020-03-26 11:10:29,041 [][] [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2020-03-26 11:10:29,688 [][] [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed 
2020-03-26 11:10:29,734 [][] [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s) 
2020-03-26 11:10:29,785 [][] [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references 
2020-03-26 11:10:30,124 [][] [main] INFO  o.n.n.NounServiceApplicationTests - Started NounServiceApplicationTests in 8.045 seconds (JVM running for 11.047) 
2020-03-26 11:10:30,551 [][] [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
2020-03-26 11:12:22,615 [][] [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.nounsys.nounservice.NounServiceApplicationTests], using SpringBootContextLoader 
2020-03-26 11:12:22,648 [][] [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [org.nounsys.nounservice.NounServiceApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2020-03-26 11:12:22,650 [][] [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [org.nounsys.nounservice.NounServiceApplicationTests]: NounServiceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2020-03-26 11:12:23,145 [][] [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration org.nounsys.nounservice.NounServiceApplication for test class org.nounsys.nounservice.NounServiceApplicationTests 
2020-03-26 11:12:23,448 [][] [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
2020-03-26 11:12:23,480 [][] [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6f43c82, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5db6b9cd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@210ab13f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@20b2475a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7857fe2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6f15d60e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1be2019a, org.springframework.test.context.event.EventPublishingTestExecutionListener@29d80d2b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@58e1d9d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@446a1e84, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4f0f2942, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2657d4dd, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5340477f] 
2020-03-26 11:12:24,383 [][] [main] INFO  o.n.n.NounServiceApplicationTests - Starting NounServiceApplicationTests on LQDEV073 with PID 21072 (started by GAOXU in E:\person-workspace\springboot-learning\noun-service) 
2020-03-26 11:12:24,386 [][] [main] INFO  o.n.n.NounServiceApplicationTests - No active profile set, falling back to default profiles: default 
2020-03-26 11:12:27,135 [][] [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'enterpriseMapper' and 'org.nounsys.nounservice.datasource.account.mapper.EnterpriseMapper' mapperInterface. Bean already defined with the same name! 
2020-03-26 11:12:27,135 [][] [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'enterpriseVerificationMapper' and 'org.nounsys.nounservice.datasource.account.mapper.EnterpriseVerificationMapper' mapperInterface. Bean already defined with the same name! 
2020-03-26 11:12:27,136 [][] [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userInfoMapper' and 'org.nounsys.nounservice.datasource.account.mapper.UserInfoMapper' mapperInterface. Bean already defined with the same name! 
2020-03-26 11:12:27,136 [][] [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userMapper' and 'org.nounsys.nounservice.datasource.account.mapper.UserMapper' mapperInterface. Bean already defined with the same name! 
2020-03-26 11:12:27,136 [][] [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[org.nounsys.nounservice.datasource.account.mapper]' package. Please check your configuration. 
2020-03-26 11:12:30,134 [][] [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2020-03-26 11:12:30,684 [][] [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2020-03-26 11:12:31,227 [][] [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed 
2020-03-26 11:12:31,271 [][] [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s) 
2020-03-26 11:12:31,328 [][] [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references 
2020-03-26 11:12:31,611 [][] [main] INFO  o.n.n.NounServiceApplicationTests - Started NounServiceApplicationTests in 8.058 seconds (JVM running for 10.796) 
2020-03-26 11:12:32,112 [][] [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
